"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search Functionality","2","0","Verify that when input is provided in the search, the output is as expected.","0"
"0","","0","StatusBoard Services","10","0","Verify the status of different services in StatusBoard","0"
"0","","0","AI Solution Page","2","0","Validate that navigation to AI solution page and breadcrumbs are working fine","0"
"0","","0","DASH Service Center","1","0","Validate Learn More navigation links on Service Center page","0"
"0","","0","Solution Request Demo Functionality","1","0","Verify Request Demo functionality","0"
"0","","0","Business Outcome","1","0","Validate the UI of Business Outcomes by navigating through the solution cards","0"
"0","","0","All Partners Card Functionality","2","0","Verify All Partners and solution card and its functionality","0"
"0","","0","Service Creation Functionality","4","0","Verify the functionality of adding and removing services","0"
"0","","0","Red Hat Summit 2025 - Event Page Functionality","4","0","Verify Red Hat Summit 2025 page loading, content, and video functionality","0"
"0","","0","Authentication Flow","3","0","Verify that user can Sign in and Sign out successfully","0"
"0","","0","Project Creation functionality","2","0","Verify the functionality of creating and deleting a project","0"
"0","","0","Google Next 2025 - Event Page Functionality","1","0","Verify Google Next 2025 page loading, content, and video functionality","0"
"0","","0","All Solution Page","1","0","Verify parts of each solution card iteratively","0"
"0","","0","About & FAQ","1","0","Verify About Dash Page Header","0"
